task,model,feature_set,accuracy,macro_f1,n_train,n_test
taskA_4class,logreg,diffusion_early,0.3528138528138528,0.3217090477960043,1846,462
taskA_4class,rf,diffusion_early,0.4458874458874459,0.4398501131167514,1846,462
taskA_4class,logreg,diffusion_struct,0.38095238095238093,0.3664697148811542,1846,462
taskA_4class,rf,diffusion_struct,0.3961038961038961,0.3967463393159988,1846,462
taskA_4class,logreg,combined,0.3787878787878788,0.3646071831825239,1846,462
taskA_4class,rf,combined,0.4523809523809524,0.4487826320483699,1846,462
