task,model,feature_set,accuracy,macro_f1,n_train,n_test
taskB_binary,logreg,diffusion_early,0.6861471861471862,0.5993876293961811,1846,462
taskB_binary,rf,diffusion_early,0.7597402597402597,0.5652704661631189,1846,462
taskB_binary,logreg,diffusion_struct,0.670995670995671,0.6166142557651992,1846,462
taskB_binary,rf,diffusion_struct,0.7121212121212122,0.6045004280298398,1846,462
taskB_binary,logreg,combined,0.6774891774891775,0.6205244676218145,1846,462
taskB_binary,rf,combined,0.7770562770562771,0.5966023244576689,1846,462
